FileName,Speaker,FinalSyll,Sex,Question,PitchMin,PitchMax,PitchRange,numPoints,Pt1Time,Pt2Time,Pt3Time,Pt4Time,Pt5Time,Pt6Time,Pt7Time,Pt8Time,Pt9Time,syllableStart.1,syllableEnd.1,syllableStart.2,syllableEnd.2,syllableStart.3,syllableEnd.3,syllableStart.4,syllableEnd.4,syllableStart.5,syllableEnd.5,syllableStart.6,syllableEnd.6,syllableStart.7,syllableEnd.7
CORRECTPAEnglish_013b_ExpAudio_B_05_ER_P13_1,P13,neutral,M,Did Mommy fold the laundry?,77.07854356,160.8926851,83.81414152,6,0.392091082,0.439464519,0.561590812,0.774876216,1.162835116,2.025640778,NA,NA,NA,0.345619602,0.484959735,0.484959735,0.694658664,0.694658664,0.874959735,0.874959735,1.243470913,1.243470913,1.324959735,1.324959735,1.689382655,1.689382655,2.054959735
CORRECTPAEnglish_024b_ExpAudio_B_04_G_P24_1,P24,rise,F,Did Lee forget his ticket?,221.5755079,489.428767,267.8532591,4,0.25976203,0.419461238,1.128011749,1.306245924,NA,NA,NA,NA,NA,0.23906958,0.384997258,0.384997258,0.544997258,0.544997258,0.684997258,0.684997258,0.844055699,0.844055699,1.014997258,1.014997258,1.148399622,1.148399622,1.362290364
CORRECTPAEnglish_034b_ExpAudio_B_02_G_P34_1,P34,fall,F,Did Tracy plant those daisies?,113.1231502,303.3599443,190.2367941,8,0.288559374,0.613518842,0.790756408,1.030728635,1.214840816,1.576724933,1.773294401,1.879557381,NA,0.26018768,0.394983802,0.394983802,0.644983802,0.644983802,0.794983802,0.794983802,1.164983802,1.164983802,1.427728372,1.427728372,1.644983802,1.644983802,2.018987758
CORRECTPAEnglish_015b_ExpAudio_B_03_G_P15_1,P15,neutral,M,Did Eugene wear his snowboots?,114.1872668,305.4383226,191.2510558,5,0.345527833,0.467914768,0.723981382,1.148117551,1.802022814,NA,NA,NA,NA,0.310403484,0.458203167,0.458203167,0.624980147,0.624980147,0.934980147,0.934980147,1.094980147,1.094980147,1.204980147,1.204980147,1.554980147,1.554980147,2.069856366
CORRECTPAEnglish_033a_ExpAudio_A_02_G_P33_1,P33,neutral,F,Did Bobby post the schedule?,120.6291918,417.3658226,296.7366307,6,0.459873633,0.627052127,0.796676342,0.988907629,1.512527466,1.769249249,NA,NA,NA,0.431321372,0.575021783,0.575021783,0.723740941,0.723740941,0.865021783,0.865021783,1.195021783,1.195021783,1.26708924,1.26708924,1.525021783,1.525021783,1.795021783
CORRECTPAEnglish_006a_ExpAudio_A_03_ER_P06_1,P06,fall,M,Did Eugene wear his snowboots?,105.7441663,219.2477852,113.5036189,6,0.378520098,0.56458037,0.642165798,1.206833747,1.354197242,1.496985695,NA,NA,NA,0.358543007,0.494995914,0.494995914,0.575256347,0.575256347,0.854995914,0.854995914,1.044995914,1.134995914,1.264995914,1.294995914,1.434995914,1.434995914,1.670852347
CORRECTPAEnglish_004a_ExpAudio_A_01_ER_P04_1,P04,neutral,F,Did Lenny drink a milkshake?,91.33483867,253.9012491,162.5664104,5,0.506940448,0.71004802,0.84840774,1.341345896,1.57963208,NA,NA,NA,NA,0.442653078,0.585007285,0.585007285,0.716263645,0.716263645,0.856641252,0.856641252,1.095007285,1.095007285,1.135007285,1.135007285,1.394121109,1.394121109,1.735007285
CORRECTPAEnglish_015b_ExpAudio_B_03_ER_P15_1,P15,fall,M,Did Linda bake these muffins?,79.5174112,325.9801338,246.4627226,8,0.378623032,0.467016037,0.677475572,0.812169675,0.915996379,1.246848572,1.49378776,1.680395214,NA,0.288046953,0.396790036,0.396790036,0.614349754,0.614349754,0.725902096,0.725902096,1.005036257,1.005036257,1.205036257,1.205036257,1.36481579,1.36481579,1.81551073
CORRECTPAEnglish_037a_ExpAudio_A_02_ER_P37_1,P37,neutral,M,Did Tracy plant those daisies?,85.3961942,164.4950468,79.09885261,3,0.76090772,1.20895997,1.895722616,NA,NA,NA,NA,NA,NA,0.728135197,0.846729012,0.846729012,1.065344926,1.065344926,1.208798863,1.208798863,1.425036107,1.425036107,1.585036107,1.585036107,1.785643595,1.785643595,2.137700151
CORRECTPAEnglish_036a_ExpAudio_A_03_G_P36_1,P36,rise,M,Did Linda bake these muffins?,103.0676451,293.6363639,190.5687189,4,0.36496019,0.590697928,1.521980429,1.668742968,NA,NA,NA,NA,NA,0.32150596,0.444993288,0.444993288,0.674993288,0.674993288,0.814993288,0.814993288,1.034993288,1.034993288,1.244993288,1.244993288,1.424993288,1.424993288,1.773831802
