date,showName,theaterName,type,capacity,gross
1995-06-04,Cats,Winter Garden,Musical,71,365355
1995-11-19,School For Scandal,Lyceum,Play,15,27661
1995-12-03,Cats,Winter Garden,Musical,66,354913
1995-12-10,Cats,Winter Garden,Musical,80,433319
1995-12-17,Cats,Winter Garden,Musical,73,393551
1995-12-24,Cats,Winter Garden,Musical,95,435347
1995-12-31,Cats,Winter Garden,Musical,102,701573
1996-01-07,Cats,Winter Garden,Musical,72,391112
1996-01-14,Cats,Winter Garden,Musical,74,295292
1996-01-21,Cats,Winter Garden,Musical,75,330317
1996-01-28,Cats,Winter Garden,Musical,68,301075
1996-02-04,Cats,Winter Garden,Musical,58,254058
1996-02-11,Cats,Winter Garden,Musical,69,319997
1996-02-18,Cats,Winter Garden,Musical,86,423150
1996-02-25,Cats,Winter Garden,Musical,97,446492
1996-03-03,Cats,Winter Garden,Musical,75,349110
1996-03-10,Cats,Winter Garden,Musical,84,391022
1996-03-17,Cats,Winter Garden,Musical,89,427675
1996-03-24,Cats,Winter Garden,Musical,90,456962
1996-03-31,Cats,Winter Garden,Musical,91,455856
1996-04-07,Cats,Winter Garden,Musical,98,528879
1996-04-14,Cats,Winter Garden,Musical,99,523922
1996-04-21,Cats,Winter Garden,Musical,85,426204
1996-04-28,Cats,Winter Garden,Musical,86,438638
1996-05-05,Cats,Winter Garden,Musical,90,445314
1996-05-12,Cats,Winter Garden,Musical,81,398160
1996-05-19,Cats,Winter Garden,Musical,89,448005
1996-05-26,Cats,Winter Garden,Musical,86,429256
1996-06-02,Cats,Winter Garden,Musical,81,415345
1996-06-09,Cats,Winter Garden,Musical,77,398961
1996-06-16,Cats,Winter Garden,Musical,78,390309
1996-06-23,Cats,Winter Garden,Musical,77,404280
1996-06-30,Cats,Winter Garden,Musical,72,387881
1996-07-07,Cats,Winter Garden,Musical,79,411983
1996-07-14,Cats,Winter Garden,Musical,85,429222
1996-07-21,Cats,Winter Garden,Musical,88,464446
1996-07-28,Cats,Winter Garden,Musical,86,453551
1996-08-04,Cats,Winter Garden,Musical,87,455789
1996-08-11,Cats,Winter Garden,Musical,90,490936
1996-08-18,Cats,Winter Garden,Musical,96,531195
