id,Breed1,Breed2,Breed3
sample_1,1,0,0
sample_2,1,0,0
sample_3,0,0,1
sample_4,1,0,0
sample_5,0,1,0
sample_6,1,0,0
sample_7,1,0,0
sample_8,1,0,0
sample_9,1,0,0
sample_10,0,1,0
sample_11,0,0,1
sample_12,0,0,1
sample_13,0,1,0
sample_14,0,0,1
sample_15,0,1,0
sample_16,0,0,1
sample_17,0,0,1
sample_18,0,0,1
sample_19,0,0,1
sample_20,0,1,0
sample_21,1,0,0
sample_22,0,1,0
sample_23,0,1,0
sample_24,0,0,1
sample_25,1,0,0
sample_26,0,1,0
sample_27,1,0,0
sample_28,0,0,1
sample_29,0,1,0
sample_30,1,0,0
sample_31,0,0,1
sample_32,0,1,0
sample_33,0,0,1
sample_34,1,0,0
sample_35,0,1,0
sample_36,1,0,0
sample_37,1,0,0
sample_38,0,1,0
sample_39,0,1,0
sample_40,0,1,0
sample_41,0,1,0
sample_42,1,0,0
sample_43,0,1,0
sample_44,1,0,0
sample_45,0,0,1
sample_46,0,1,0
sample_47,0,1,0
sample_48,0,0,1
sample_49,1,0,0
sample_50,1,0,0
sample_51,0,0,1
sample_52,1,0,0
sample_53,0,1,0
sample_54,1,0,0
sample_55,1,0,0
sample_56,1,0,0
sample_57,1,0,0
sample_58,0,1,0
sample_59,1,0,0
sample_60,0,0,1
sample_61,1,0,0
sample_62,0,1,0
sample_63,0,1,0
sample_64,1,0,0
sample_65,0,1,0
sample_66,0,1,0
sample_67,1,0,0
sample_68,1,0,0
sample_69,0,1,0
sample_70,1,0,0
sample_71,0,1,0
sample_72,1,0,0
sample_73,1,0,0
sample_74,1,0,0
sample_75,0,1,0
sample_76,0,0,1
sample_77,0,1,0
sample_78,0,0,1
sample_79,1,0,0
sample_80,0,1,0
sample_81,0,0,1
sample_82,0,1,0
sample_83,0,1,0
sample_84,0,0,1
sample_85,1,0,0
sample_86,0,0,1
sample_87,1,0,0
sample_88,0,1,0
sample_89,0,1,0
sample_90,0,1,0
sample_91,1,0,0
sample_92,0,1,0
sample_93,1,0,0
sample_94,0,0,1
sample_95,0,1,0
sample_96,1,0,0
sample_97,0,1,0
sample_98,1,0,0
sample_99,0,1,0
sample_100,0,1,0
sample_101,1,0,0
sample_102,1,0,0
sample_103,1,0,0
sample_104,0,1,0
sample_105,1,0,0
sample_106,0,1,0
sample_107,0,1,0
sample_108,0,0,1
sample_109,1,0,0
sample_110,0,1,0
sample_111,1,0,0
sample_112,1,0,0
sample_113,0,0,1
sample_114,1,0,0
sample_115,0,1,0
sample_116,0,1,0
sample_117,1,0,0
sample_118,0,0,1
sample_119,0,1,0
sample_120,0,0,1
sample_121,0,1,0
sample_122,0,0,1
sample_123,0,1,0
sample_124,0,0,1
sample_125,0,0,1
sample_126,0,0,1
sample_127,1,0,0
sample_128,0,1,0
sample_129,1,0,0
sample_130,1,0,0
sample_131,1,0,0
sample_132,0,1,0
sample_133,0,0,1
sample_134,1,0,0
sample_135,0,1,0
sample_136,0,1,0
sample_137,0,1,0
sample_138,0,0,1
sample_139,0,1,0
sample_140,0,0,1
sample_141,0,1,0
sample_142,1,0,0
sample_143,1,0,0
sample_144,0,1,0
sample_145,1,0,0
sample_146,0,0,1
sample_147,0,0,1
sample_148,1,0,0
sample_149,0,1,0
sample_150,1,0,0
sample_151,0,1,0
sample_152,0,1,0
sample_153,1,0,0
sample_154,1,0,0
sample_155,1,0,0
sample_156,0,1,0
sample_157,0,0,1
sample_158,0,1,0
sample_159,1,0,0
sample_160,0,0,1
sample_161,0,1,0
sample_162,0,0,1
sample_163,1,0,0
sample_164,0,1,0
sample_165,1,0,0
sample_166,1,0,0
sample_167,0,0,1
sample_168,0,0,1
sample_169,0,0,1
sample_170,0,1,0
sample_171,1,0,0
sample_172,0,0,1
sample_173,1,0,0
sample_174,1,0,0
sample_175,1,0,0
sample_176,1,0,0
sample_177,0,1,0
sample_178,1,0,0
sample_179,0,1,0
sample_180,0,1,0
sample_181,1,0,0
sample_182,0,1,0
sample_183,0,1,0
sample_184,0,0,1
sample_185,0,1,0
sample_186,1,0,0
sample_187,0,0,1
sample_188,0,1,0
sample_189,1,0,0
sample_190,1,0,0
sample_191,1,0,0
sample_192,0,1,0
sample_193,0,0,1
sample_194,1,0,0
sample_195,0,0,1
sample_196,0,1,0
sample_197,0,1,0
sample_198,1,0,0
sample_199,1,0,0
sample_200,0,1,0
sample_201,0,0,1
sample_202,0,1,0
sample_203,1,0,0
sample_204,1,0,0
sample_205,1,0,0
sample_206,0,1,0
sample_207,0,0,1
sample_208,1,0,0
sample_209,0,1,0
sample_210,0,1,0
sample_211,0,0,1
sample_212,0,1,0
sample_213,0,1,0
sample_214,0,0,1
sample_215,0,1,0
sample_216,0,1,0
sample_217,0,0,1
sample_218,0,0,1
sample_219,1,0,0
sample_220,0,0,1
sample_221,0,1,0
sample_222,1,0,0
sample_223,1,0,0
sample_224,1,0,0
sample_225,0,0,1
sample_226,0,1,0
sample_227,1,0,0
sample_228,0,0,1
sample_229,1,0,0
sample_230,0,0,1
sample_231,1,0,0
sample_232,1,0,0
sample_233,0,0,1
sample_234,0,0,1
sample_235,0,0,1
sample_236,1,0,0
sample_237,1,0,0
sample_238,0,1,0
sample_239,1,0,0
sample_240,1,0,0
sample_241,0,1,0
sample_242,0,0,1
sample_243,0,0,1
sample_244,0,1,0
sample_245,0,1,0
sample_246,1,0,0
sample_247,0,1,0
sample_248,0,0,1
sample_249,0,1,0
sample_250,1,0,0
sample_251,1,0,0
sample_252,1,0,0
sample_253,0,1,0
sample_254,0,0,1
sample_255,0,0,1
sample_256,1,0,0
sample_257,0,1,0
sample_258,0,0,1
sample_259,0,0,1
sample_260,1,0,0
sample_261,0,0,1
sample_262,0,0,1
sample_263,0,1,0
sample_264,0,0,1
sample_265,1,0,0
sample_266,1,0,0
sample_267,0,0,1
sample_268,0,1,0
sample_269,1,0,0
sample_270,0,0,1
sample_271,0,0,1
sample_272,1,0,0
sample_273,1,0,0
sample_274,0,1,0
sample_275,0,0,1
sample_276,0,1,0
sample_277,0,1,0
sample_278,0,1,0
sample_279,0,0,1
sample_280,0,1,0
sample_281,0,1,0
sample_282,1,0,0
sample_283,0,1,0
sample_284,0,0,1
sample_285,0,1,0
sample_286,0,0,1
sample_287,0,0,1
sample_288,1,0,0
sample_289,1,0,0
sample_290,0,0,1
sample_291,0,1,0
sample_292,0,0,1
sample_293,0,0,1
sample_294,0,0,1
sample_295,0,1,0
sample_296,0,1,0
sample_297,1,0,0
sample_298,0,1,0
sample_299,0,0,1
sample_300,0,1,0
sample_301,1,0,0
sample_302,1,0,0
sample_303,0,1,0
sample_304,0,0,1
sample_305,1,0,0
sample_306,0,1,0
sample_307,0,1,0
sample_308,0,0,1
sample_309,1,0,0
sample_310,1,0,0
sample_311,0,1,0
sample_312,0,0,1
sample_313,0,0,1
sample_314,1,0,0
sample_315,0,1,0
sample_316,0,0,1
sample_317,0,1,0
sample_318,0,0,1
sample_319,0,1,0
sample_320,0,0,1
sample_321,1,0,0
sample_322,0,1,0
sample_323,1,0,0
sample_324,0,1,0
sample_325,0,0,1
sample_326,1,0,0
sample_327,0,1,0
sample_328,0,0,1
sample_329,0,1,0
sample_330,1,0,0
sample_331,0,1,0
sample_332,0,0,1
sample_333,0,0,1
sample_334,1,0,0
sample_335,1,0,0
sample_336,1,0,0
sample_337,1,0,0
sample_338,0,0,1
sample_339,0,0,1
sample_340,0,0,1
sample_341,0,1,0
sample_342,0,1,0
sample_343,0,0,1
sample_344,0,1,0
sample_345,0,1,0
sample_346,1,0,0
sample_347,1,0,0
sample_348,0,1,0
sample_349,1,0,0
sample_350,0,1,0
sample_351,0,1,0
sample_352,0,1,0
sample_353,0,1,0
sample_354,0,0,1
sample_355,0,1,0
sample_356,1,0,0
sample_357,1,0,0
sample_358,0,0,1
sample_359,1,0,0
sample_360,1,0,0
sample_361,0,1,0
sample_362,0,0,1
sample_363,0,0,1
sample_364,0,0,1
sample_365,0,0,1
sample_366,1,0,0
sample_367,0,1,0
sample_368,1,0,0
sample_369,0,1,0
sample_370,0,0,1
sample_371,1,0,0
sample_372,0,0,1
sample_373,1,0,0
sample_374,0,1,0
sample_375,0,1,0
sample_376,0,1,0
sample_377,0,1,0
sample_378,0,0,1
sample_379,0,1,0
sample_380,1,0,0
sample_381,1,0,0
sample_382,1,0,0
sample_383,1,0,0
sample_384,0,1,0
sample_385,0,0,1
sample_386,0,1,0
sample_387,0,1,0
sample_388,0,1,0
sample_389,0,1,0
sample_390,0,1,0
sample_391,0,1,0
sample_392,1,0,0
sample_393,0,0,1
sample_394,1,0,0
sample_395,0,1,0
sample_396,0,1,0
sample_397,0,1,0
sample_398,0,1,0
sample_399,1,0,0
sample_400,1,0,0
sample_401,0,0,1
sample_402,1,0,0
sample_403,0,1,0
sample_404,1,0,0
sample_405,0,0,1
sample_406,0,1,0
