locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15,id
119,233,113,370,426,107,210,159,103,80,125,233,213,262,124,sample_1
121,242,113,362,428,98,210,172,106,86,121,236,209,264,124,sample_2
129,242,101,364,426,107,210,164,109,82,125,233,205,272,122,sample_3
123,239,113,366,422,107,210,172,109,82,121,233,209,264,122,sample_4
125,239,113,372,428,101,215,172,106,78,127,239,209,261,122,sample_5
119,239,105,364,428,101,215,164,106,82,119,236,213,264,124,sample_6
119,236,109,362,428,104,210,172,103,80,121,239,205,264,122,sample_7
121,236,109,364,422,107,210,172,97,80,119,236,205,270,124,sample_8
121,236,109,368,428,107,210,172,106,86,121,236,205,264,124,sample_9
127,245,109,368,428,104,215,164,100,80,127,242,205,262,122,sample_10
127,245,105,364,428,101,210,168,109,82,125,236,213,272,122,sample_11
127,239,101,372,428,107,215,164,109,82,125,242,209,264,122,sample_12
125,239,109,372,426,98,215,168,106,80,123,239,209,264,124,sample_13
129,245,109,368,428,107,210,164,109,82,125,245,213,272,122,sample_14
123,239,109,370,428,101,215,168,100,80,125,236,205,261,124,sample_15
127,239,105,364,426,104,210,168,109,80,125,245,209,266,122,sample_16
127,239,101,364,428,104,210,164,109,82,127,242,213,270,122,sample_17
129,245,109,370,428,104,210,164,112,80,127,242,209,266,122,sample_18
129,242,101,366,428,107,210,172,112,80,125,245,213,266,122,sample_19
125,239,105,372,422,101,215,172,106,78,125,239,205,262,124,sample_20
125,233,105,362,424,104,210,172,112,86,123,233,213,261,124,sample_21
125,233,109,370,422,101,210,159,100,78,127,239,209,264,124,sample_22
125,239,109,372,422,101,215,168,100,82,129,239,209,264,124,sample_23
125,233,105,366,428,107,210,164,109,82,125,242,213,272,122,sample_24
119,236,113,368,428,104,210,164,100,84,123,236,209,262,124,sample_25
119,242,105,370,424,107,215,172,103,80,121,242,213,264,124,sample_26
125,239,105,366,424,101,210,176,106,82,121,236,201,262,124,sample_27
129,236,101,372,428,104,210,164,106,82,125,245,205,272,122,sample_28
125,239,109,368,428,98,215,172,97,78,123,239,209,264,124,sample_29
123,239,113,364,422,107,210,164,106,86,123,239,213,270,124,sample_30
129,245,101,364,428,107,210,164,109,82,127,236,213,270,122,sample_31
129,233,105,372,428,101,215,168,100,82,125,239,213,261,124,sample_32
127,233,105,364,424,104,210,164,109,82,129,239,213,268,124,sample_33
121,236,105,364,424,107,210,164,97,84,121,236,209,270,124,sample_34
125,239,105,370,428,101,215,172,100,80,127,236,205,261,122,sample_35
123,236,109,370,428,107,215,164,106,86,125,236,209,262,124,sample_36
119,236,113,368,428,98,210,172,97,86,121,239,201,262,124,sample_37
127,245,105,372,426,104,215,168,103,80,129,239,205,261,122,sample_38
125,233,109,370,422,101,215,168,100,78,127,239,209,264,124,sample_39
125,233,105,370,426,107,215,168,106,82,127,239,209,261,124,sample_40
127,233,105,370,422,101,215,168,106,80,125,239,209,262,124,sample_41
119,239,105,370,424,110,215,172,112,86,121,236,213,270,124,sample_42
121,245,105,370,428,101,215,168,103,82,129,239,205,264,124,sample_43
121,239,113,362,428,98,210,172,103,86,123,236,205,264,124,sample_44
127,245,105,364,428,98,210,164,109,80,127,239,213,272,122,sample_45
121,239,113,372,428,104,215,168,103,78,127,239,209,264,124,sample_46
125,239,105,372,424,101,210,164,103,80,123,239,209,261,124,sample_47
125,245,105,372,424,104,210,164,106,84,127,245,213,272,122,sample_48
